Date;Pluie;nb_visiteurs
jan;1.8825;29
fev;1.5475;31.25
mars;1.4425;33.25
avr;2.265;36.25
mai;7.77;21.25
juin;2.5775;19.5
juil;2.0325;20
aout;2.2075;19.5
sep;3.92;13.5
oct;3.376666667;32
nov;1.036666667;26.33333333
dec;2.076666667;34.66666667
