date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,-3.5,-11.4,4.6,0,,,11.6,,1016.7,
2020-01-02,-2.7,-6.4,0.6,0,,356.7,10.4,,1011.9,
2020-01-03,-1.5,-9.4,5.6,0,,,7.5,,1026.5,
2020-01-04,0.8,-6.4,9.6,0,,183.1,14.1,,1030.3,
2020-01-05,0.7,-7.4,9.6,0,,200,13.7,,1027.9,
2020-01-06,-2.8,-10.9,4.6,0,,39,12,,1030.6,
2020-01-07,1.5,-5.4,10.6,0,,152.8,14,,1029.1,
2020-01-08,2.4,-1.4,5.6,0,,187.3,20.2,,1015.1,
2020-01-09,-1.5,-5.4,2.6,,,272.6,9.6,,1010.6,
2020-01-10,-6.7,-14.8,0.8,0,,,3.5,,1020.4,
2020-01-11,-3.2,-11.4,3.6,0,,188.8,16.1,,1020.8,
2020-01-12,-2.5,-11.4,3.6,0,,246,11.8,,1018.7,
2020-01-13,1.6,-1.4,5.6,0,,,19.3,,1018.1,
2020-01-14,3.7,-2.4,8.6,0,,,14.8,,1019.2,
2020-01-15,3.3,-4.4,11.6,0,,,6.5,,1019.7,
2020-01-16,3.4,-0.4,8.6,0,,,10.4,,1019.5,
2020-01-17,-0.2,-6.4,3.6,0,,,22.6,,1018.3,
2020-01-18,1.2,-5.4,10.6,0,,32,6.6,,1029,
2020-01-19,3.5,-1.4,10.6,0,,75.9,12.7,,1027.9,
2020-01-20,5.8,2.6,10.6,0,,148,18.5,,1023.9,
2020-01-21,3.4,0.6,6.6,,,204.8,13.9,,1016.6,
2020-01-22,0.7,-3.4,6.6,0,,335.5,3.5,,1019.2,
2020-01-23,1.8,-5.4,11.6,0,,53.5,11.2,,1022.1,
2020-01-24,2.2,-4.4,11.6,0,,7.5,11.5,,1019,
2020-01-25,2,-4.4,11.6,0,,,10.7,,1020.6,
2020-01-26,4.2,-2.4,11.6,,,278.9,14.3,,1020.3,
2020-01-27,1.4,-2.4,6.6,,,,8.9,,1018.7,
2020-01-28,1.7,-2.4,8.6,0,,,7.8,,1021.3,
2020-01-29,0,-4.4,6.6,,,80.1,15.4,,1015.1,
2020-01-30,0.7,-3.4,6.6,0,,,12.6,,1017.9,
2020-01-31,2.7,-4.4,10.6,0,,5.3,11.5,,1025,
2020-02-01,5.2,-4.4,16.6,0,,,10.7,,1027,
2020-02-02,6.5,-2.4,13.6,0,,181.8,22.2,,1016.3,
2020-02-03,-1.9,-11.4,5.6,0,,254.2,25.4,,1001,
2020-02-04,-8.8,-14.4,-2.4,0,,31.6,15.4,,1013.8,
2020-02-05,-6.1,-11.4,0.6,0,,,11.5,,1016.2,
2020-02-06,-0.4,-8.4,8.6,0,,329.3,7.3,,1014.8,
2020-02-07,1.8,-6.4,11.6,0,,,,,1015,
