date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01,1.6,-7.4,13.6,0,,,12.4,,1024.2,
2018-01-02,0.4,-6.4,10.6,0,,,12.6,,1024.9,
2018-01-03,4.7,-4.4,13.6,0,,,13.6,,1024.1,
2018-01-04,5.6,-1.4,13.6,0,,,11,,1021,
2018-01-05,4.5,-2.6,14.6,0,,,6.9,,1024,
2018-01-06,6.3,-2.4,14.6,,,189.9,18.8,,1020.8,
2018-01-07,2.7,-3.1,8.5,,,,9.6,,1020,
2018-01-08,5.7,0.6,11.6,0,,,15.9,,1021.1,
2018-01-09,6.6,-0.4,10.6,,,169.1,27.5,,,
2018-01-10,0.5,-1.4,1.6,,,,16,,1010.4,
2018-01-11,0.8,-3.4,7.6,0,,,6.2,,1022.8,
2018-01-12,1.4,-5.4,9.6,0,,,11.5,,1024.5,
2018-01-13,3.7,-3.4,12.6,0,,,11.8,,1027.4,
2018-01-14,5.2,-0.4,14.6,0,,,12.1,,1026.8,
2018-01-15,3.9,-2.4,13.6,0,,,10.7,,1022.1,
2018-01-16,4.2,-2.4,12.6,0,,,11,,1024.2,
2018-01-17,2.4,-4.4,11.6,0,,,11.6,,1026.1,
2018-01-18,2.5,-5.4,13.6,0,,,11.1,,1023.8,
2018-01-19,6.4,-0.4,12.6,,,172.4,20.3,,1016.5,
2018-01-20,1.1,-4.4,6.6,13,,213.1,23.5,,1008.2,
2018-01-21,-6.7,-11.4,-2.4,,,,13.7,,,
2018-01-22,-6.4,-16.4,4.6,0,,,11.5,,1027.7,
2018-01-23,-1.7,-9.4,7.6,0,,,11.6,,1027.2,
2018-01-24,3.3,-3.4,12.6,0,,154.2,19.8,,1028.3,
2018-01-25,4.8,1.6,9.6,0,,180.8,30.9,,1017.4,
2018-01-26,-0.7,-7.4,5.6,0,,,11.3,,1019.5,
2018-01-27,0.6,-7.4,10.6,0,,,10.9,,1028.4,
2018-01-28,3.3,-5.4,12.6,0,,68,14.6,,1028.2,
2018-01-29,5.1,-3.4,14.6,0,,,12.8,,1029.1,
2018-01-30,4.9,-1.4,16.6,0,,,11.9,,1024.2,
