date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,-1.3,-7.4,5.6,0,,42,14,,1019.5,
2021-01-02,-2.2,-9.4,6.6,0,,195.1,13.3,,1023.3,
2021-01-03,-2.3,-9.4,6.6,0,,233.6,7.7,,1021.2,
2021-01-04,2.4,-6.4,14.6,0,,179.4,12.7,,1019.6,
2021-01-05,2.6,-6.4,8.6,0,,347.7,11.2,,1020.7,
2021-01-06,0.9,-10.4,12.6,0,,169.8,12.5,,1020.8,
2021-01-07,1.9,-7.4,13.6,0,,123.4,11.3,,1019.8,
2021-01-08,2.3,-4.4,10.6,0,,190.4,12.4,,1018.8,
2021-01-09,-1.6,-6.4,4.6,0,,338.2,14.3,,1020.2,
2021-01-10,-2.5,-11.4,6.6,0,,76.1,7.3,,1024.4,
2021-01-11,-2.9,-10.4,6.6,0,,115.4,12.1,,1025,
2021-01-12,-3.9,-14.4,10.6,0,,133.6,7.7,,1025.5,
2021-01-13,0.6,-8.4,12.6,0,,33.2,10.3,,1024,
2021-01-14,1.9,-7.4,13.6,0,,0.7,10.2,,1024.9,
2021-01-15,4.1,-8.4,15.6,0,,42,12.5,,1024.1,
2021-01-16,2.9,-7.4,12.6,0,,47.9,12.5,,1020.3,
2021-01-17,2,-8.4,15.6,0,,103.7,7,,1018.4,
2021-01-18,2.3,-5.4,11.6,0,,114,10.7,,1011.1,
2021-01-19,0.8,-0.4,2.6,5.5,,115.9,18,,1016.7,
2021-01-20,1.6,-2.4,7.6,0.5,,157,14.1,,1021.7,
2021-01-21,3.4,-1.4,8.6,0.2,,189.6,5.4,,1017.5,
2021-01-22,3.1,0.6,5.6,4.1,,198.3,21,,1014.3,
2021-01-23,-0.2,-3.4,1.6,8.7,,201.5,21,,1012,
2021-01-24,-2.2,-3.4,-0.4,13.9,,210.7,8.4,,1010.2,
2021-01-25,-4.5,-7.4,-2.4,15.2,,184.9,19.1,,1008.5,
2021-01-26,-7.4,-13.4,-4.4,4,,196.2,16,,1016.5,
2021-01-27,-4.5,-11.4,1.6,0,,147.4,20.8,,1023.9,
2021-01-28,2.1,-2.4,7.6,0,,154.2,22.7,,1017.4,
2021-01-29,0,-3.4,3.6,6.2,,190.7,25.3,,1014.5,
2021-01-30,-4.9,-12.4,1.6,0,,328.1,8,,1023.4,
2021-01-31,-0.5,-10.4,6.6,0,,144.7,17.3,,1024.2,
2021-02-01,3.8,-0.4,10.6,0.4,,157.6,13.9,,1021.5,
2021-02-02,6,1.6,9.6,0.8,,198.8,12.1,,1020,
2021-02-03,7.1,2.6,10.6,0.8,,217.2,21.9,,1015.6,
2021-02-04,0.4,-6.4,5.6,0,,356.9,7.2,,1018,
2021-02-05,-0.7,-9.4,9.6,0,,300,10.3,,1018.1,
2021-02-06,0.6,-8.4,10.6,0,,10.8,9,,1017.6,
2021-02-07,1.5,-6.4,12.6,0,,250.4,8.5,,1013.5,
2021-02-08,3.4,-5.4,10.6,0,,190.3,17,,1014.4,
2021-02-09,4.5,-1.4,9.6,0,,169.1,15.7,,1014.9,
2021-02-10,3.6,-2.4,9.6,0,,210.2,6.6,,1013.9,
2021-02-11,3.4,-6.4,11.6,0,,323.8,7.5,,1015.8,
2021-02-12,3.7,-3.4,8.6,1.8,,214.3,15.5,,1010,
2021-02-13,-0.6,-5.4,5.6,10.5,,230,17.9,,1006.9,
2021-02-14,-2.6,-7.4,1.6,0.7,,347.7,13.9,,1010.5,
2021-02-15,-2.1,-10.4,5.6,0,,207.4,15.3,,1014.7,
2021-02-16,-0.5,-6.4,3.6,3.1,,296.3,17.3,,1011.5,
2021-02-17,-4.8,-10.4,-0.4,0,,1.7,11.3,,1017.8,
2021-02-18,-4,-13.4,3.6,0,,13.3,8.7,,1028.6,
2021-02-19,1.3,-7.4,11.6,0,,213,11.3,,1023.5,
2021-02-20,3,-3.4,9.6,0,,227,23.6,,1015.8,
2021-02-21,-1.1,-10.4,7.6,0,,35.4,7.2,,1028.1,
2021-02-22,2.2,-8.4,13.6,0,,97.8,11.3,,1024.3,
2021-02-23,5.3,-3.4,14.6,0,,212.6,11.2,,1017,
2021-02-24,3.7,-5.4,12.6,0.1,,225.6,15.3,,1015.5,
2021-02-25,-1,-8.4,5.6,0,,45.8,11.8,,1020.7,
2021-02-26,1.1,-10.4,11.6,0,,202,16.5,,1015.2,
2021-02-27,1.7,-5.4,7.6,0,,274.4,19.3,,1012.9,
2021-02-28,-5.1,-13.4,0.6,0,,17.8,15.3,,1024.9,
2021-03-01,0.1,-11.4,9.6,0,,148.2,8.7,,1025.4,
2021-03-02,4.2,-4.4,13.6,0,,150.1,14.1,,1017,
2021-03-03,4.9,-3.4,12.6,0.9,,172.5,25.5,,1012.3,
2021-03-04,1.5,-3.4,7.6,4.2,,267.6,14,,1022.2,
