Date;Pluie;nb_visiteurs
jan;0.83;2106.5
fev;0.7575;1675.5
mars;1.3025;2581.5
avr;0.63;2611.25
mai;0.6925;2423.25
juin;0.0825;2175.75
juil;1.1075;2228
aout;0.5125;1793.75
sept;0.2925;1845.25
oct;0.266666667;2443.333333
nov;0.45;1915
dec;0.576666667;1816.333333
