Username;Location;Nb_comments;Nb_likes;Note;Date_publication;Title;Date_experience
jeremanais23;metz, france;0;0;50;october 23 2020;le souffle coupe;october 2020
routardinho;bordeaux, france;0;0;50;august 11 2020;magique;august 11 2020
blackbird _ 571;thionville, france;0;0;50;july 27 2020;ouais;july 2020
pernellevoyage;montreal, canada;0;0;50;april 19 2020;le canyon de tous les superlatifs, a voir dans une vie;may 2019
lebubu;noisy le grand, france;0;0;30;april 15 2020;iconique mais lassant.;september 2019
labiton;gatineau, quebec;0;0;50;march 7 2020;a voir a differents moments de la journee;february 2020
bernardpretet;dol de bretagne, france;0;0;50;january 28 2020;vertigineux ;january 2020
golfette gourmande;nice, france;0;0;50;january 12 2020;road trip, etape grand canyon;may 2019
maroline57140;metz, france;0;0;50;january 12 2020;magnifique parc;june 2019
nini3076;diemoz, france;0;0;50;december 29 2019;comment vous en prendre plein les yeux;august 2019
eric j;dieppe, france;138;113;50;december 21 2019;un incontournable de l ouest americain;may 2019
nanrichard;montreal, canada;6;6;50;december 2 2019;grandiose;october 2019
vero eric 38;grenoble, france;255;106;40;november 17 2019;grand, mÃªme tres grand voir trop grand ðŸ˜‚;september 2019
alextripps;vetralla, italie;11;14;50;november 7 2019;sensationnel;october 2019
aurelie f;chevreuse, france;139;94;50;october 25 2019;inoubliable ;september 2019
jin54;longwy, france;318;238;50;october 17 2019;innoubliable;september 2019
madkhap;paris, france;66;43;40;october 4 2019;a faire mais pas le plus beau;august 2019
sylvie r;geneve, suisse;226;178;50;october 4 2019;il faut le voir une fois dans sa vie ;july 2019
juliederennes;rennes, france;22;48;50;september 22 2019;sublime;august 2019
orianeb10;saintes, france;35;51;50;september 22 2019;voyage en famille;september 2019
jean j;marseille, france;1020;786;30;september 11 2019;pas le plus beau.;september 2019
randonneux;papeete, polynesie francaise;114;105;50;september 8 2019;la beaute du grand canyon;december 2018
jean marie n;roissy en brie, france;78;88;50;september 5 2019;la beaute de la nature;august 2019
densmireille;bruxelles, belgique;2;2;50;september 1 2019;magnifique;july 2019
stefd65;saint nazaire, france;72;63;50;august 30 2019;immensite;august 2019
nescro83;bretagne, france;78;107;50;august 26 2019;incroyable;july 2019
stan33160;bordeaux, france;74;83;50;august 20 2019;magique;august 2019
framboises2b;corse, france;158;94;50;august 20 2019;grandiose;august 2019
e3668efnathalied;puteaux, france;24;44;50;august 16 2019;splendide ;august 2019
douzeman;lyon, france;71;60;50;august 16 2019;obligatoire;august 2019
laurasara23;san francisco, californie;57;68;50;august 14 2019;acces poussettes ok;august 2019
ppeyrard;lyon, france;710;456;50;august 10 2019;fabuleux;august 2019
laurent h;clichy, france;185;99;50;august 7 2019;magnifique;july 2019
crycryfa;canet, france;266;144;50;august 4 2019;magnifique;july 2019
harold n;spay;52;65;50;july 30 2019;c est juste ... superbe;july 2019
ledavalex;saint laurent du var, france;328;209;50;july 16 2019;trip depuis las vegas;june 2019
le0nie1234;besancon, france;2;2;50;july 13 2019;genial;july 2019
waterb52;bruxelles, belgique;230;114;50;july 6 2019;magnifique;july 2019
sergeanita;briscous;125;136;50;july 3 2019;le choc visuel;june 2019
filouk30;nÃ®mes, france;76;84;50;july 3 2019;grandiose;july 2019
destinationpaschere;nice, france;3;4;50;june 13 2019;magnifique;november 2018
670julienk;vallans, poitou charentes, france;134;77;50;june 10 2019;magnifique;june 2019
agnes d;saint aygulf, france;22;26;50;june 5 2019;une des merveilles du monde site grandiose;april 2019
1988155032;repentigny, canada;93;182;50;june 5 2019;a voir;may 2019
g p;montreal, quebec, canada;785;425;50;may 18 2019;incontournable;may 2019
yul007;ans, belgique;127;73;50;april 3 2019;arriver par desert view;may 2018
miltinmtl;montreal, canada;71;26;50;april 1 2019;grandiose;march 2019
helloditpous;Ã®le de france, france;71;31;50;march 12 2019;magnifique;march 2019
771juliell;saint eustache, canada;36;15;50;february 9 2019;des paysages incroyables;october 2018
bannik;canton of neuchatel, suisse;246;148;50;january 16 2019;accessible et sympa;january 2019
g00bees;neuilly en thelle, france;80;13;50;january 13 2019;grandiose;april 2018
floriane f;bletterans, france;7;1;50;january 9 2019;magnifique paysage;november 2018
kiwiswiss9;paris, france;656;923;50;january 6 2019;magnifique, indescriptible;january 2019
porty38;goncelin, france;39;34;50;january 3 2019;a couper le souffle;october 2018
michel l;rouyn noranda, canada;212;106;50;december 29 2018;8 iemes merveille;october 2018
teranace;villers cotterets, france;205;65;50;november 13 2018;a couper le souffle;october 2018
ftrusz;paris, france;576;218;50;november 12 2018;epoustouflant ;november 2018
val8lys;lyon, france;108;36;50;november 10 2018;a couper le souffle ;october 2018
renaud r;clermont ferrand, france;58;20;50;november 1 2018;un emerveillement  du jamais vu ailleurs  grandiose ;october 2018
mgc0282;marseille, france;69;69;50;october 26 2018;merveille du monde a ne rater sous aucun pretecte;october 2018
isabelleb575;valflaunes, france;91;58;50;october 24 2018;fabuleux;october 2018
ilie44;guerande, france;336;138;50;october 24 2018;grandissime grand canyon;june 2018
bruaix13;aix en provence, france;110;65;50;october 14 2018;un seul mot : splendide ;september 2018
famillenoisette;lille, france;136;123;50;september 22 2018;epoustouflant, vertigineux, grandiose;august 2018
patqc65;quebec (ville), canada;271;477;50;september 18 2018;enorme;august 2018
veroniquejeannot18;nice, france;118;96;50;september 14 2018;a vos selfies ...;july 2018
firerblade;dublin, irlande;9;9;50;september 12 2018;point de passage oblige;august 2018
lousaintclair2414;marseille, france;139;119;50;september 3 2018;magnifique ;september 2018
gerald k;paris, france;211;101;50;september 2 2018;magnifique et spectaculaire;september 2018
arnaud b;maillezais, france;87;52;50;august 29 2018;passage obligatoire;july 2018
deversaillesabangkok;viroflay, france;271;116;50;august 28 2018;le roi des canyons;august 2018
sergiodebablin;estrablin, france;76;7;50;august 28 2018;vacances en californie;august 2018
jeromeattal;paris, france;58;26;10;august 28 2018;parc d attraction naturelle;august 2018
joelmaryvonne;ivry sur seine, france;288;78;50;august 25 2018;magique;august 2018
tigi06;grasse, france;19;3;50;august 25 2018;a faire obligatoirement;august 2018
ouasfi70;basse terre island, guadeloupe;16;3;50;august 24 2018;grand canyon south rim;august 2018
stephanie d;morainvilliers, france;93;48;50;august 24 2018;paysages sublimes;august 2018
virferdast;chambery, france;145;87;50;august 23 2018;tres beau;august 2018
matisse78100;venise, italie;43;25;50;august 22 2018;juste magnifique...of course.;august 2018
vanessab217;tourrettes sur loup, france;247;124;50;august 17 2018;magnifique;august 2018
cmoja;savoie, france;741;264;50;august 13 2018;a profitez au lever du soleil;july 2018
annick13;canton de sarajevo, bosnie herzegovine;176;160;50;august 13 2018;beau canyon ;august 2018
jeanc671;paris, Ã®le de france, france;155;93;50;august 12 2018;gigzntesque et unique;august 2018
sandsoenvoyage;paris, france;17;1;50;august 12 2018;endroit exceptionnel;august 2018
soniam939;indonesie;34;17;50;august 6 2018;amazing ;august 2018
elsaaa77;france;26;10;40;july 30 2018;un incontournable;july 2018
911959;royan, france;184;45;50;july 23 2018;superbe;july 2018
pascaler221;evian les bains, france;41;23;50;july 18 2018;grand canyon;july 2018
valnatcla;gisors, france;34;10;50;july 17 2018;magnifique ;july 2018
dumbea;noumea, nouvelle caledonie;33;5;50;july 11 2018;grandiose;july 2018
292anniei;courbevoie, france;204;109;50;july 5 2018;sublime;june 2018
cecilecv;saintes, france;51;13;50;june 17 2018;magnifique;june 2018
jlf2305;luisant, france;203;113;50;june 17 2018;grandiose;june 2018
jeanyves06510;carros, france;103;23;50;june 15 2018;merveilleux;may 2018
alexandrel970;angoulÃªme, france;32;30;50;june 12 2018;plein les yeux;april 2018
lilcy54;creteil, france;29;8;50;may 22 2018;juste un mot : whaouh ;may 2018
pierre h;paris, france;38;8;50;may 21 2018;une des 7 merveilles au monde, majestueux, grandiose, epoustouflant;april 2018
alexis2016;mane, france;114;58;50;may 12 2018;a faire idealement en dernier lors de votre road trip.;april 2018
global_6095;ville de compiegne, france;164;81;50;may 11 2018;fantastique et pas trop bonde;may 2018
nanou14970;caen, france;77;46;50;april 29 2018;waouh;april 2018
mrm637;paris, france;89;89;50;april 28 2018;sublissime ;april 2018
freboi;paris;66;58;50;april 27 2018;incroyable;april 2018
930jeanlucs;freyming merlebach, france;205;193;50;april 14 2018;un must see;april 2018
xenoross;thouars, france;89;109;50;april 3 2018;olala impressionnant;april 2018
monray_34;sete, france;146;77;50;february 22 2018;a faire sans hesiter;february 2018
jeanbs1291xx;warwick, canada;32;35;30;february 15 2018;visite faite a partir de las vegas par bus;february 2018
longabergerlady;oconto falls, wisconsin;220;56;50;october 1 2021;vacation in arizona;october 2021
lcatawhite;knoxville, tennessee;33;10;50;october 1 2021;grand canyon bucket list;september 2021
bjolds;stafford, virginie;89;15;50;september 29 2021;breathtaking views;september 2021
lisamarie l;madison, wisconsin;408;147;50;september 26 2021;an american treasure;august 2021
annelj273;columbus, ohio, united states;12;14;50;september 21 2021;national park grand canyon;september 2021
teniswhiz;chicagoland, il;11;7;50;september 20 2021;beautiful;september 2021
kevin s;etats unis;11;1;50;september 20 2021;one of the most amazing sites on this earth;september 2021
john d;dallas, texas;36;28;50;september 19 2021;awesome trip to grand canyon combined with trip to sedona and flagstaff;august 2021
postal49740;boyne city, michigan;422;159;50;september 12 2021;big;september 2021
1960tn;goodlettsville, tennessee;69;37;50;september 9 2021;stay hydrated;september 2021
stephen s;petal, mississippi;314;102;50;september 7 2021;awesome sunset;august 2021
marilou2108;miami, floride;62;50;50;september 7 2021;wonderful nature;august 2021
skier259;spearfish, dakota du sud;781;205;50;september 4 2021;unrivaled view;september 2021
pwrof3;huntington beach, californie;46;13;50;august 31 2021;beautiful and serene;august 2021
katiedv2059if;michigan;17;5;50;august 26 2021;beautiful place;august 2021
romadaro;washington, district de columbia;1338;1158;30;august 24 2021;disappointing;august 2021
831patriciar;milwaukee, wisconsin;175;34;40;august 23 2021;out for a drive;august 2021
veggieohio;chardon, ohio;58;28;50;august 21 2021;amazing and terrifyingly bbeautiful;august 2021
acoachcool;san diego, californie;231;87;50;august 14 2021;what a view;august 2021
jeff f;cleveland, ohio;60;99;50;august 11 2021;you have to see it in person;august 2021
travelfamily2015;san carlos, californie;76;47;50;august 6 2021;incredible experience â€” here s some tips;july 2021
cathy l;leland, caroline du nord;418;97;50;august 6 2021;the views;october 2020
romamama2015;kingdom city, missouri;26;9;50;august 2 2021;prepare to be overwhelmed;july 2021
faraway211632;lincoln park, michigan;128;75;50;july 29 2021;nice day trip;june 2021
tony b;manhattan, kansas;199;89;50;july 27 2021;amazing experience;july 2021
ajayjm;plano, texas;101;119;50;july 26 2021;nature at its best;july 2021
859kristyns;hemet, californie;60;36;50;july 14 2021;wowed by the majestic grand canyon;july 2021
geoc393;temple city, californie;5;3;50;july 13 2021;beautiful;june 2021
tammil_11;denton, texas;271;84;50;july 12 2021;breath taking view;june 2021
mommyof4greatkids;ooltewah, tennessee;217;111;50;july 12 2021;go, go go;june 2021
schoosier53;simpsonville, caroline du sud;85;24;50;july 11 2021;it s a grand canyon;july 2021
christine s;stone mountain, georgie;11;25;50;july 10 2021;grand view;may 2021
454christinac;nashville, tennessee;1195;436;50;july 9 2021;spectacular. does get hot in the summer.;july 2021
ambersahoy;haines city, floride;32;46;50;july 5 2021;what did you expect mediocre canyon;march 2021
richard s;longmont, colorado;318;101;50;july 4 2021;still grand after all these years;june 2021
emarsh69;vacaville, californie;333;97;50;june 29 2021;absolutely beautiful;june 2021
halw2m;colorado springs, colorado;24;22;50;june 28 2021;breath taking;june 2021
matthew j;buena park, californie;383;236;50;june 28 2021;surreal and immense;june 2021
jjw_ratings;houston, texas;83;85;40;june 28 2021;nice but it looks better in pics than reality;may 2021
mrbucketlist;clearwater, floride;90;204;50;june 27 2021;everything i wanted plus more;june 2021
justinct123;lancaster, pennsylvanie;89;41;50;june 24 2021;arrive early;june 2021
angie d;roseburg;76;77;50;june 22 2021;once in a lifetime experience worth making the trip;june 2021
jtull55;san francisco, californie;108;75;50;june 21 2021;a must see for anyone in the us;june 2021
jtull55;san francisco, californie;108;75;50;june 21 2021;a must see natural attraction;june 2021
izhaymama;prattville, alabama;7;0;50;june 20 2021;summer time at the south rim;june 2021
militraywifeandmom;lee s summit, missouri;84;14;50;june 19 2021;beautiful;june 2021
minnes0tagirl;saint cloud, minnesota;31;6;50;june 18 2021;take your time and soak it all in;june 2021
melwashere81;cleveland, texas;233;64;50;june 17 2021;breathtaking;june 2021
stonefinder1;louisville, kentucky;140;82;50;june 17 2021;park is in a sad state of repairs;june 2021
iteachpc;jacksonville, floride;75;42;50;june 16 2021;breathtaking views;june 2021
michael s;chicago, illinois;153;76;50;june 16 2021;breath taking;june 2021
semira m;minneapolis, minnesota;114;139;50;june 15 2021;the best;june 2021
cmanis01;saint augustine, floride;351;139;50;june 12 2021;super great place to see canyon.;june 2021
stuck nomo;waxahachie, texas;21;4;50;june 12 2021;fabulous but food is scarce;june 2021
danielle1944;albuquerque, nouveau mexique;133;87;50;june 6 2021;amazing sunrise and sunset;may 2021
nancy g;miami, floride;43;47;50;june 2 2021;mesmerizing;may 2021
radarman123;floride centrale, floride;200;135;50;may 29 2021;must see;may 2021
trail49854218913;eugene, oregon;20;2;50;may 29 2021;best vistas, especially for travelers with disabilities. easy to navigate. train offers ada shuttles.;may 2021
balancedmommy;savannah, georgia, united states;49;22;50;may 28 2021;indeed grand;may 2021
teniseetraveler;jacksonville, floride;360;131;50;may 27 2021;breathtaking;may 2021
e620vmandreaw;austin, texas;3;1;50;may 26 2021;loved the canyon, food not so much;may 2021
louann r;pittsburgh, pa;34;7;50;may 25 2021;wonderful experience;may 2021
blondesteven;los angeles, californie;70;157;40;may 22 2021;beautiful canyon   frustrated visit for lack of services   staff;may 2021
westernpaandiamo;fernandina beach, floride;179;114;50;may 22 2021;go at sunset;may 2021
poodletoes;dayton, ohio;294;211;50;may 21 2021;review for those who do not hike down into the canyon;may 2021
tmack82;birmingham, alabama;109;83;50;may 21 2021;majestic;may 2021
jjjc_family;virginia;440;342;50;may 20 2021;teddy roosevelt was right   you can t improve it.;may 2021
michael h;rocky river, ohio;639;87;50;may 18 2021;we hiked miles;april 2021
ulyanainstars;moscou, russie;203;379;50;may 17 2021;nature masterpiece: you must see it;may 2021
tmarcone;boston;465;271;50;may 17 2021;may 14 update;may 2021
rebeccass3973et;middle river;12;5;50;may 17 2021;never get tired of viewing the canyon not from the north or south rim;may 2021
sandilarry l;fort smith, ar;315;84;30;may 16 2021;shamefully commercialized;may 2021
181timd;wayland, massachusetts, united states;15;8;40;may 15 2021;south rim trail great but not the whole thing;may 2021
jandk33021;grove, oklahoma;27;15;50;may 14 2021;try great ventures tour.com;january 2021
yellat72;daytona beach, floride;140;45;50;may 14 2021;awe inspiring;november 2020
martinjmichael;surfside beach, caroline du sud;120;74;50;may 14 2021;spectacular 1st visit;may 2021
susan g;maben, mississippi;80;24;50;may 12 2021;bucket list trip;april 2021
58randyt;palm bay, floride;372;211;50;may 11 2021;top of the world;may 2021
54tomas;coral springs, floride;143;34;50;may 10 2021;ok it s our 4th visit;may 2021
881darlal;upper marlboro, maryland;13;25;50;may 10 2021;worth the drive;may 2021
kuvasz1988;saint paul, minnesota;531;154;50;may 6 2021;no words;may 2021
mantamoon3;kingwood, texas;76;45;50;may 6 2021;always amazing;may 2021
sschenck;oviedo, floride;26;11;50;may 5 2021;spend 3 4 days and go all the way west and east;april 2021
x8568zukarend;leesville, louisiane;81;18;50;may 4 2021;amazing;april 2021
dbinhou7511;houston, texas;1051;304;50;may 4 2021;great views almost anywhere along the rim;april 2021
mikeb1952;colorado springs, colorado;894;526;50;april 29 2021;wow what a sight;april 2021
john s;cape coral, floride;804;438;50;april 27 2021;one of the most extraordinary national parks;april 2021
paulbeve;ridgeway, caroline du sud;272;101;50;april 27 2021;awesome;april 2021
robert a;salt lake city, utah;161;244;40;april 26 2021;a grand hole in the ground;april 2021
tiffanyhc;warrenton, virginie;131;20;40;april 21 2021;good to say you ve seen  and go for it and get the t shirt;april 2021
diver930351;ocala, floride;15;18;50;april 20 2021;wow;april 2021
colleen c;troy, etat de new york;365;194;50;april 19 2021;awe;april 2021
whereswelles;santa ana, californie;42;24;50;april 19 2021;east entrance open again but desert view stop doesn t have food available;april 2021
bay5;upper peninsula of michigan;75;50;30;april 15 2021;gc has beauty, but not help or facilities;april 2021
sharon b;tustin, californie;75;36;50;april 14 2021;spectacular with snow;march 2021
maureen e;charlotte, caroline du nord;32;12;20;april 14 2021;shuttle mess;april 2021
the_wanderer1992;columbia, maryland;749;305;40;april 12 2021;beautiful;april 2021
tobydogt;honolulu;86;49;50;april 11 2021;photos don t do it justice;april 2021
njswede31;york, pennsylvanie;57;37;50;april 9 2021;wonderful in the snow;march 2021
rdh2017;tennessee;119;53;50;april 8 2021;one of the seven natural wonders of the world;april 2021
michael h;rocky river, ohio;639;87;50;april 7 2021;fabulous views;april 2021
elik1265;brooklyn, etat de new york;121;83;50;april 7 2021;grand canyon;march 2021
381karat;mount horeb, wisconsin;91;44;30;april 6 2021;lines and lines and lines;april 2021
getreal2me99;honolulu, hawai;105;79;50;april 4 2021;must see;april 2021
reneecolumbus;columbus, georgie;47;52;30;april 3 2021;beautiful scenery, covid really messed up food options;april 2021
602samsonl;los angeles, californie;1;2;10;april 3 2021;traffic is absurdly god awful and infrastructure is completely inadequate;april 2021
pamct9536pi;san lorenzo, californie;29;51;30;march 30 2021;the good and the bad;march 2021
melvinpusfinger;santa monica, californie;420;191;50;march 30 2021;wonderful experienceâ€¦ allow extra time for entry;march 2021
lmday99;middleburg, floride;8;17;10;march 28 2021;don t go until covid is over;march 2021
kelleyb222;lake zurich, illinois;32;49;40;march 26 2021;grand canyon in 24 hours;march 2021
745brentk;lincoln, nebraska;74;28;50;march 26 2021;laughlin tours;march 2021
mitchandlee;ramona, californie;16;20;50;march 25 2021;go early it was worth every moment;march 2021
juliamc329qa;omaha, nebraska;3;4;50;march 25 2021;a beautiful view;march 2021
wranglernwss;evans, colorado;394;195;50;march 21 2021;amazing;march 2021
rosehowe0919;conway, caroline du sud;122;96;50;march 15 2021;stunning views;march 2021
saw55;los angeles, californie;118;57;50;february 27 2021;great side trip;december 2020
melissaclaire93;cinnaminson, new jersey;414;254;50;february 24 2021;worth the drive from vegas;december 2020
tworollos;elyria, ohio;39;45;50;february 22 2021;amazing   a must see on earth;february 2021
kelly0120;saint augustine, floride;34;34;50;february 18 2021;beautiful grand canyon;march 2020
lori k;fall creek, wisconsin;25;31;40;february 15 2021;winter in the grand canyon, beware;february 2021
thomas g;fort thomas, kentucky;341;105;50;february 10 2021;excellent;february 2021
sonyakayd;punta cana;12;33;50;february 8 2021;grand canyon;february 2021
jennlovesfood;san diego, californie;322;777;50;february 3 2021;beautiful day trip from williams on the railway;august 2020
shiloh_kirby;oklahoma city, oklahoma;16;23;50;january 19 2021;sunrise on new year day;january 2021
oldfirechief;muncie, indiana;305;112;50;january 14 2021;awe inspiring;january 2021
robert k;north lauderdale, floride;81;71;50;january 9 2021;awesome;december 2020
christine t;monroe, etat de new york;258;175;50;january 7 2021;stunning;january 2021
jnewm245;boston, massachusetts;8;11;40;january 6 2021;crowded but must see;december 2020
bosoxbevy;etats unis;13;57;50;january 3 2021;beautiful;january 2021
savvytravelduo;rogers, arkansas;10;24;50;january 2 2021;extraordinary location to experience the beauty of god s creation;january 2021
jimcamacho;paranaque, philippines;402;117;40;december 29 2020;underwhelming given its reputationâ€¦;november 2020
bbanks945;calgary, canada;111;68;50;december 18 2020;mid december   a great time to visit;december 2020
mariana b;arizona city, arizona;2;2;50;december 16 2020;fabulous;january 2020
tomg853;myrtle beach, caroline du sud;399;114;40;december 13 2020;the hole thing;september 2020
snpkelley;uniontown, ohio;377;153;50;december 10 2020;breathtaking;december 2020
mdgipsy;baltimore, maryland;854;325;50;december 8 2020;amazing;november 2020
shreyansh182;houston, texas;224;183;50;december 2 2020;grand canyon doesn t need a â€œreviewâ€;december 2020
feil675;houston, texas;371;153;50;december 2 2020;best photos at sunrise and sunset;october 2020
jeffrey l;fort pierce, united states;21;22;50;december 1 2020;breathtaking from every angle;december 2020
mj g;ankeny, iowa;40;12;50;november 29 2020;one of the wonders of the world;november 2020
bobber84mn;little falls, minnesota;61;32;50;november 27 2020;breathtaking;november 2020
raymondk364;fredonia, etat de new york;6;6;50;november 26 2020;should be on everyone s list;december 2019
nomosshere;sacramento, californie;150;65;50;november 26 2020;breathtaking;october 2020
carolyndc1174pr;eugene, oregon;3;4;50;november 25 2020;breathtaking views;october 2020
seanforceone;los angeles, californie;4;8;50;november 21 2020;life on mars;april 2020
eaglesfan27;reading, pennsylvanie;337;251;50;november 18 2020;fabulous experience;november 2020
hudld;myrtle beach, caroline du sud;209;144;30;november 16 2020;$35 to get in is crazy;november 2020
atlas993;elk grove, californie;212;116;40;november 16 2020;itâ€˜s huge;october 2020
rodney b;waukesha, wisconsin;746;285;50;november 14 2020;beautiful views;november 2020
klukan;cedar rapids, iowa;122;42;50;november 13 2020;breath taking;november 2020
travelingsoccerloon;saint paul, minnesota;842;565;50;november 12 2020;spectacular;october 2020
thomas w;estes park, colorado;360;105;50;november 12 2020;awesome;november 2020
chriscarlspencer;dutch john, utah;145;83;40;november 6 2020;breathtaking;november 2020
firedragon3d;austin, texas;35;28;50;november 6 2020;raw nature and water power;november 2020
jerrykg6226yr;duarte, californie;1;3;40;november 5 2020;down angle falls trail in a summer thunderstorm;august 2020
peskyh;shreveport, louisiane;50;50;40;november 4 2020;breathtaking scenery;september 2020
hearditbothways;hazlet, new jersey;377;398;50;november 3 2020;stunning views and pandemic friendly;october 2020
larryw4405;cookeville, tennessee;148;106;50;november 1 2020;plan ahead with your meal planning.;october 2020
brian b;houston, texas;77;67;50;october 29 2020;day visit to grand canyon;october 2020
sandiablonde;edgewood, nouveau mexique;402;287;50;october 29 2020;still an incredible sight.;october 2020
susan d;muskogee, oklahoma;41;60;50;october 28 2020;great experience with the grandson;october 2020
patricia w;mesa, arizona;1421;406;50;october 23 2020;perfect;october 2020
carolinabeachgirl;north tazewell, virginie;43;53;50;october 21 2020;vegas trip;october 21 2020
lnsons1;tucson, arizona;2;2;50;october 20 2020;el tovar hotel;august 2020
kareng98;san antonio, texas;464;142;50;october 20 2020;breathtaking   just beyond words;october 2020
katie d;tampa, floride;32;59;50;october 16 2020;rim trail was a highlight;october 2020
char j;indianapolis, indiana;174;98;50;october 12 2020;wow just wow;october 2020
cofcmom;abbeville, caroline du sud;177;109;50;october 12 2020;driving the scenic drive.;october 2020
alexh11899;oklahoma city, oklahoma;197;94;50;october 9 2020;stunning and fun;october 2020
sharonsjohnsontravel;lafayette, louisiane;21;43;50;october 5 2020;amazing;september 2020
rosentb1;charlotte, caroline du nord;37;27;50;october 5 2020;absolutely beautiful;october 2020
martletwyontour;pays de galles, royaume uni;51;59;50;october 3 2020;out of this world;january 2020
nyackgirl47;new york, etat de new york;555;303;50;october 2 2020;spectacular;september 2020
daverocksme;las vegas, nevada;5;7;50;september 30 2020;hiking kaibab trail to skeleton point;september 2020
ceohotelreviewer;philadelphie, pennsylvanie;20;44;50;september 29 2020;grand canyon tour;december 2019
weekendtraveler2018;columbus, ohio;41;39;50;september 28 2020;amazing destination right here in our own usa   go see it;september 2020
randy h;tucson, arizona;11;29;50;september 28 2020;train trip of a life time;september 2020
n_and_r;fishers, indiana;404;262;50;september 27 2020;an outstanding visit to the south rim;september 2020
tony_15_108;gulfport, mississippi;70;67;50;september 27 2020;i can tell you but you have to see it.;september 2020
adventuresofbink;mountlake terrace, etat de washington;33;49;50;september 27 2020;not just a big hole in the ground;may 2020
redleg93;maple grove, minnesota;1237;400;50;september 24 2020;incredible views you can t capture in photos;september 2020
wfan1612;berlin, allemagne;66;71;50;september 18 2020;grand canyon is a must experience;october 2019
djd texas;houston;71;46;50;september 18 2020;one of my most favorite places on earth;september 2020
sdpeterson;la quinta, californie;414;110;50;september 13 2020;the grand canyon is simply grand;august 2020
imthecraziestdude;singapour, singapour;234;223;50;september 10 2020;a wonderful day   epic view one of the best thing that i had ever done;november 2019
wanderingspec;chandler, arizona;68;44;50;september 8 2020;spectacular;september 2020
gregory f;new york, etat de new york;8;10;50;september 6 2020;bucket list experience;september 2020
trouthook69;belton, texas;464;136;50;september 4 2020;first trip to south rim;september 2020
gillespiekc;fort myers, florida;4;5;50;september 3 2020;spectacular, informative and entertaining journey around the south rim (and then some...);august 2020
mbandjt;tucson, arizona;18;23;50;august 28 2020;beautiful drive;august 2020
globalroamer345;australie;52;84;50;august 24 2020;unforgettable day;september 2019
saltlifecoop;temple, texas;5;5;50;august 22 2020;bucket list must;august 2020
jockomojo;fontana, californie;35;50;50;august 20 2020;the canyon amidst the pandemic . . .;august 2020
bluescpl;wheeling, virginie occidentale;50;62;50;august 15 2020;wonderful;august 2020
laaaasvegas;las vegas;62;32;50;august 13 2020;nature s beauty;august 2020
aaburnett;campobello, caroline du sud;66;33;50;august 13 2020;stunning;august 2020
fulvio972;turin, italie;230;154;50;august 11 2020;outstanding scenery;september 2019
beelittle;downers grove, illinois;467;289;50;august 10 2020;it s a must;october 2019
rippedoff42;oklahoma city, oklahoma;239;99;40;august 9 2020;enjoyed it;july 2020
brett l;georgetown, texas;239;111;50;august 8 2020;easiest 5 star rating of my life;august 2020
stevek9829te;comte d orange, californie;218;147;50;august 8 2020;south rim of the grand canyon;july 2020
bobnuke_83;greenville, caroline du sud;3;6;40;august 7 2020;grand canyon is a must do;july 2020
tutinspony;phoenix, arizona;821;361;50;august 4 2020;a must when in the southwest usa.;august 2020
iowarhino13;saint paul, minnesota;51;37;50;august 3 2020;grand canyon experience;june 2020
matt_purdyy;seend, royaume uni;6;7;50;august 2 2020;the greatest experience of my life;march 2020
lqs;huntington beach, californie;86;60;50;july 30 2020;worth a visit on a clear day;june 2020
mcbubby;reno, nevada;65;45;50;july 29 2020;how could you rate less than 5;july 29 2020
f s;tacoma, etat de washington;5;12;10;july 28 2020;national park service reservations   ripoff warning;july 2020
reconcitomex;walt disney world, floride;9;13;50;july 26 2020;beautiful but demands respect;july 2020
4stevemandy;seal beach, californie;108;57;50;july 25 2020;amazing to see;august 2019
curtisjamesh;oklahoma city, oklahoma;64;51;50;july 24 2020;best place to visit before life ends;march 2020
johncolo;windsor, colorado;257;110;30;july 22 2020;unbelievable views.;july 2020
nickellfamilytravel;los angeles, californie;1479;640;50;july 22 2020;absolutely stunning;june 2020
3scs;fort worth, texas;61;99;50;july 20 2020;perfect 1 day excursion;june 2020
500sammyn;rancho cordova, californie;98;105;50;july 20 2020;beautiful and amazing;june 2020
cheryll m;greater adelaide, australie;271;179;40;july 20 2020;amazing grand canyon;september 2019
noworries2000;federal way, etat de washington;773;418;50;july 19 2020;grand canyon during covid   crowds way down enjoy;july 2020
love2quilt2;lucedale, mississippi;83;72;50;july 15 2020;amazing views;july 2020
benl;annapolis;121;115;50;july 14 2020;it s the grand canyon, it s grand;july 2020
samjj2657pt;new york, etat de new york;14;31;50;july 14 2020;amazing view but avoid summer months;july 2020
loveharleyrider;martin, tennessee;90;76;50;july 13 2020;2020 vacation;june 2020
timbos;houston, texas;37;53;50;july 8 2020;sizemore  clatterbuck grand canyon sedona;july 2020
ben h;katy, texas;303;194;50;july 8 2020;beautiful place;july 2020
kimb4615;mcdonough, georgie;30;48;50;july 7 2020;beautiful;july 2020
stormyandkathy;arlington, texas;64;48;50;july 6 2020;yes, it is grand;february 2020
alanap781;nashville, tennessee;55;29;50;july 3 2020;most beautiful place i ve ever been;july 2020
kathy h;irvine, californie;229;85;40;july 1 2020;too many people and the views are ok;july 2019
rich9934;midlothian, texas;5;5;50;june 28 2020;awesome;june 2020
jason s;reedsburg, wisconsin;558;247;50;june 28 2020;awesome;june 2020
