date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,7.9,1.8,15.6,0,0,314.9,12.1,,1016.8,
2021-01-02,9.5,3.4,17.3,0,0,274.3,7,,1022.7,
2021-01-03,9.9,0.6,21.2,0,0,302.6,6.6,,1019.1,
2021-01-04,13.3,2.3,25.1,0,0,257.5,4.6,,1017.6,
2021-01-05,15.1,10.1,19.5,0,0,68.8,10.2,,1018.1,
2021-01-06,18.6,13.4,24,2.2,0,231.4,16.9,,1015,
2021-01-07,12.4,7.9,19,0,0,334,12.3,,1020,
2021-01-08,9.1,3.4,15.1,0,0,47.9,12.6,,1025.4,
2021-01-09,7.8,0.6,11.8,1.2,0,68.9,10.3,,1025.4,
2021-01-10,5.7,3.4,10.1,25.3,0,24.5,20.2,,1024.7,
2021-01-11,5.7,2.9,9.5,0,0,340.4,11.6,,1030.4,
2021-01-12,3.4,-1.6,9.5,0,0,256.8,3.7,,1029.7,
2021-01-13,7.4,-1.6,17.9,0,0,265.6,8.2,,1022.7,
2021-01-14,10.7,-1,22.9,0,0,345.4,9.7,,1014.7,
2021-01-15,10.8,5.1,16.8,0,0,339.1,12.2,,1021.1,
2021-01-16,8.6,-1,18.4,0,0,7.7,5.3,,1020.1,
2021-01-17,12.7,2.9,21.2,0,0,280.2,5.9,,1019,
2021-01-18,14.6,5.6,25.1,0,0,68,8.7,,1015.3,
2021-01-19,18.5,10.6,22.9,14,0,105.9,17.7,,1020,
2021-01-20,11.2,9.5,12.3,2.7,0,24,10.7,,1024.9,
2021-01-21,14.4,11.8,17.9,0.5,0,257.1,5,,1016.8,
2021-01-22,17.8,12.3,26.2,1.5,0,301.5,6,,1013.1,
2021-01-23,14.7,12.3,16.8,1.6,0,50.4,10,,1015,
2021-01-24,19.7,16.8,23.4,1.3,0,99.8,12.2,,1010.1,
2021-01-25,20.8,12.3,25.6,0,0,359.3,11.3,,1005.7,
2021-01-26,16.8,7.9,26.2,0,0,54.6,7.4,,1009.6,
2021-01-27,14.8,10.1,19.5,0,0,11.4,15.5,,1023.2,
2021-01-28,9.8,4.5,15.1,0,0,65,12.9,,1031.9,
2021-01-29,13.4,5.6,21.2,0,0,142.9,11,,1023,
2021-01-30,18.5,14,24.5,0,0,203.1,8.8,,1011.6,
2021-01-31,15.8,6.8,23.4,0,0,355.2,12.3,,1021.2,
2021-02-01,13.5,6.8,20.1,0,0,35,10.1,,1028.2,
2021-02-02,11.7,2.3,19.5,0,0,122.9,5.4,,1022.8,
2021-02-03,15.6,6.8,25.1,0,0,143.6,9.9,,1015.5,
2021-02-04,19,14,26.8,0,0,209.8,11.3,,1009.8,
2021-02-05,12.3,9.5,14.5,0,0,68.1,15.4,,1012.2,
2021-02-06,15.6,10.1,26.2,0,0,11.5,11.3,,1011.8,
2021-02-07,14,3.4,23.4,0,0,124.5,12.3,,1015.1,
2021-02-08,17.2,9.5,25.1,0,0,157.5,6.7,,1013.7,
2021-02-09,19.7,14,25.6,0.5,0,110.9,10,,1016,
2021-02-10,10,5.6,13.4,3.4,0,49.7,16.3,,1015.6,
2021-02-11,3.3,1.8,5.6,9,0,18.8,20.6,,1018.1,
2021-02-12,2,1.2,3.4,0,0,15.8,19.5,,1020.9,
2021-02-13,-0.2,-1,0.6,2.4,0,15.4,17.4,,1021.3,
2021-02-14,-2.3,-7.1,0.1,1.8,30,19.3,21.1,,1021.3,
2021-02-15,-5.5,-10,0.1,7,100,3.7,15.5,,1027.8,
2021-02-16,-2.9,-8.3,4.3,0.3,50,80.8,12,,1022.8,
2021-02-17,2.5,-2.8,7.2,1.8,50,35.2,13,,1016.8,
2021-02-18,-0.1,-1.6,0.6,5.6,0,359,15,,1027.9,
2021-02-19,1.4,-5.5,7.9,0,80,299.9,5.4,,1033.3,
2021-02-20,7.2,-3.2,17.3,0,30,128.6,9.2,,1025.5,
2021-02-21,14.5,5.6,24,0,0,171.3,6.4,,1018.8,
2021-02-22,17,12.3,24.5,0,0,82.6,11,,1022.1,
2021-02-23,16.6,6.8,26.8,0,0,166.5,11,,1017.8,
2021-02-24,20.8,17.9,25.6,0,0,137,7.8,,1014.7,
2021-02-25,15.5,13.4,19,1.9,0,49.6,14.8,,1016.2,
2021-02-26,14,11.2,16.2,0.3,0,70.4,10.9,,1013,
2021-02-27,20.6,15.6,26.2,0,0,113.9,14,,1010.6,
2021-02-28,22.8,21.2,25.1,0,0,148.6,10.7,,1009.1,
2021-03-01,13.8,12.3,19,5.1,0,20.9,24.3,,1019.2,
2021-03-02,13.6,7.9,20.1,0,0,30.3,11.7,,1022.8,
2021-03-03,13.4,4,21.8,0,0,121.4,5.3,,1020.4,
2021-03-04,16.1,7.3,25.6,0,0,119.2,10.7,,1017.4,
2021-03-05,20.1,15.6,27.9,0,0,323,14.2,,1014.2,
2021-03-06,16,11.8,20.6,0,0,34.5,16.2,,1022.9,
2021-03-07,14.4,7.9,20.6,0,0,106.9,8,,1026.6,
2021-03-08,16,10.6,22.3,0,0,105.1,12.9,,1027.4,
2021-03-09,18.9,14,26.2,0,0,153,17.1,,1022.9,
2021-03-10,22.2,17.9,28.4,0,0,160.5,23.3,,1015.9,
2021-03-11,22.9,19.5,27.3,0,0,146.2,20.1,,1017.4,
2021-03-12,23.3,20.6,26.8,0.9,0,143,21.1,,1018.4,
2021-03-13,22.6,20.1,26.8,1.4,0,138,22.7,,1015.8,
2021-03-14,19,12.2,25.2,1.3,0,,12.2,,,
2021-03-15,19.5,10.4,29.3,0,0,137.8,8.8,,1012.3,
2021-03-16,22.9,1.2,28.2,0,0,149.4,12.6,,1008.1,
2021-03-17,23.8,19,29,7.1,0,320.1,21.6,,1008.3,
2021-03-18,18.1,11.8,25.6,0,0,356.3,17.7,,1021.2,
2021-03-19,16.8,10.1,24,0,0,23.6,11.4,,1024.9,
2021-03-20,15.6,6.8,22.9,0,0,75.9,8.2,,1024.7,
2021-03-21,16.7,8.4,25.6,0,0,114.4,13.4,,1019.3,
2021-03-22,19.2,14.5,24.5,0,0,130.7,16,,1008.7,
2021-03-23,21.1,11.8,29,11.4,0,80.7,5.3,,1007.4,
2021-03-24,20.5,13.4,27.9,1.8,0,71.9,12.1,,1003.6,
2021-03-25,21.9,16.2,26.8,3.4,0,320,14.8,,1007.8,
2021-03-26,21.4,11.2,31.2,0,0,121.1,9.8,,1011.2,
2021-03-27,25.9,19.5,33.4,0,0,163.6,11,,1008.6,
2021-03-28,21.3,14.5,25.1,0.8,0,44.5,20.7,,1021.4,
2021-03-29,18.2,9,26.2,0,0,106.1,11,,1019.6,
2021-03-30,23.4,17.6,30.6,0.6,0,167.4,13.4,,1012.3,
2021-03-31,22.4,17.9,24.5,0.2,0,48.9,16.9,,1018.2,
2021-04-01,18.7,14,23.4,0,0,72.1,16.2,,1030.4,
2021-04-02,18.2,11.2,25.1,0,0,101,15,,1026,
2021-04-03,18.7,14,24.5,11.4,0,121.7,15.6,,1024.6,
2021-04-04,20.6,16.2,26.8,1.6,0,114.5,12.5,,1022.7,
2021-04-05,21.7,16.8,28.4,0,0,129.2,13.5,,1015.8,
2021-04-06,25.6,21.2,33.4,0,0,157.5,22.5,,1009.4,
2021-04-07,26.4,22.3,34.5,0,0,113,13.4,,1008.8,
2021-04-08,26.7,18.4,35.6,0,0,159.1,10.4,,1009.4,
2021-04-09,27.6,22.3,36.8,0,0,152.7,12.2,,1003.2,
2021-04-10,25.4,19.5,31.8,0,0,42.3,17.8,,1007,
2021-04-11,24.5,12.9,33.4,0,0,124.7,10,,1006.1,
2021-04-12,26.6,20.6,35.1,0,0,133.8,15.2,,1007.6,
2021-04-13,26.8,24,30.6,0,0,72.7,11.9,,1010.4,
2021-04-14,27.4,23.4,31.8,0,0,76.3,8.9,,1011.1,
2021-04-15,21.7,20.1,26.2,0.9,0,66.2,15.9,,1010.8,
2021-04-16,21.6,20.1,25.1,1.7,0,64.6,13,,1008.3,
2021-04-17,18.6,14,22.9,0,0,15.4,24.1,,1015.2,
2021-04-18,18.3,13.4,24,0,0,25.9,14.4,,1018.7,
2021-04-19,19.6,13.4,25.1,0,0,90.4,6.5,,1016.8,
2021-04-20,20.8,10.6,31.8,0,0,212.3,9.8,,1015.5,
2021-04-21,16.5,10.6,22.9,0,0,54.2,20.8,,1021.9,
2021-04-22,17.6,14.5,21.2,0.6,0,86.9,11.7,,1016.1,
2021-04-23,23.7,19.5,31.8,5.4,0,137.6,11,,1007.8,
2021-04-24,25.6,15.1,35.6,0,0,357.1,11.2,,1009.6,
2021-04-25,25.4,17.9,34,0,0,110.1,13.4,,1014.5,
2021-04-26,25.6,21.2,32.3,0,0,143,18.9,,1010.2,
2021-04-27,24.9,22.3,27.3,2.8,0,125.2,14.8,,1008,
2021-04-28,27.6,23.4,34.5,1.3,0,128.5,20.4,,1004.6,
2021-04-29,23.9,21.8,25.6,9.8,0,54.1,16.9,,1008.6,
2021-04-30,21.7,20.1,25.1,13.1,0,17.7,16.1,,1016.1,
2021-05-01,21.6,20.1,24.5,41.8,0,50.6,10.6,,1011,
2021-05-02,26.2,17.3,36.8,0,0,210.8,10.8,,1004,
2021-05-03,29,24,37.3,0,0,131.9,13.5,,999.1,
2021-05-04,27.8,25.1,31.8,2.5,0,20.1,17,,1009,
2021-05-05,23.8,17.9,29.5,0,0,45.9,13.9,,1017.1,
2021-05-06,24.7,15.6,32.3,0,0,63.8,10.3,,1019.2,
2021-05-07,25.1,17.9,32.3,0,0,92.6,11.5,,1018.2,
2021-05-08,27,21.8,34,0,0,149.2,19,,1010.8,
2021-05-09,28.9,25.1,34.5,0.2,0,144.6,14.7,,1006.8,
2021-05-10,28.2,24.5,32.9,10.6,0,88.8,13.7,,1009.1,
2021-05-11,22.7,19.5,31.8,19.2,0,63.8,15.5,,1011.5,
2021-05-12,21.4,18.4,26.8,0,0,24.1,19.2,,1018.9,
2021-05-13,21,17.9,25.6,0,0,48.3,14.3,,1023,
2021-05-14,24.1,17.9,30.1,0,0,97.8,11.2,,1019.7,
2021-05-15,23.1,21.2,25.6,6.7,0,127.2,13.8,,1016.7,
2021-05-16,25.6,22.9,29.5,10.7,0,121.6,14.6,,1013.8,
2021-05-17,27.5,25.1,32.3,0,0,125.8,15.4,,1008.5,
2021-05-18,26.4,22.9,32.3,28.5,0,22,16.7,,1007,
2021-05-19,22.6,21.2,26.8,0,0,76.8,12,,1008.7,
2021-05-20,24.6,17.3,31.8,0,0,80.4,7.4,,1011.3,
2021-05-21,26.6,20.6,31.8,0,0,88.3,10,,1014.2,
2021-05-22,26.3,24,29,7.9,0,102.9,14.6,,1016.4,
2021-05-23,25.5,24.5,26.8,8,0,91.6,14.6,,1018,
2021-05-24,26.6,24,31.8,8.1,0,146.1,12,,1016.2,
2021-05-25,28.9,25.6,34,2.7,0,149.2,15.5,,1015.8,
2021-05-26,29.2,26.2,34.5,0.9,0,133.8,14.2,,1018.1,
2021-05-27,29.1,25.6,34,0,0,150.8,15.5,,1013.5,
2021-05-28,28.6,20.6,34,9.4,0,130.6,16.6,,1011.8,
2021-05-29,25.2,20.6,30.6,11.7,0,83.3,9.7,,1014.2,
2021-05-30,26.4,23.4,31.8,1.7,0,102.7,11.2,,1016,
2021-05-31,28.2,25.1,32.3,0,0,131.6,16,,1015.3,
2021-06-01,26.9,22.9,31.2,10.4,0,85.5,9.8,,1015.1,
2021-06-02,27.7,23.4,32.3,0,0,72.1,5.7,,1014.8,
2021-06-03,23.9,21.8,28.4,32.7,0,52.2,11.5,,1014.4,
2021-06-04,26.3,22.9,31.2,0,0,67.7,8.3,,1014.2,
2021-06-05,26.9,23.4,32.3,13.6,0,84.2,10.2,,1010.3,
2021-06-06,28.7,22.9,34.5,0,0,124.5,12.3,,1008.3,
2021-06-07,30.6,28.4,35.1,0,0,142,16.5,,1008.6,
