date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,11.4,10.6,12.3,0,0,5,4.1,,1014.1,
2020-01-02,12.8,8.4,17.9,0,0,9.1,4.4,,1003.9,
2020-01-03,13.5,7.3,20.1,0.5,0,320.1,11.7,,1014.6,
2020-01-04,11.6,1.8,22.3,0,0,316,6,,1026.9,
2020-01-05,13,2.9,24.5,0,0,308.2,6.9,,1025.6,
2020-01-06,14.7,6.2,24,0,0,267.3,6.1,,1020.2,
2020-01-07,13.5,5.6,20.1,0,0,29.1,9.7,,1028.1,
2020-01-08,12.5,1.8,22.9,0,0,99.2,12.6,,1023.7,
2020-01-09,21.5,17.9,26.8,0,0,159,18.8,,1013.9,
2020-01-10,21.7,15.1,27.9,16,0,171.1,19.3,,1007.2,
2020-01-11,13.4,8.4,17.9,0.8,0,316.9,14.6,,1018.3,
2020-01-12,10.8,2.3,19.5,0,0,125.6,5.5,,1021,
2020-01-13,14.9,12.3,16.8,0.8,0,28.1,6.1,,1020,
2020-01-14,19.8,16.2,25.6,0,0,2.8,3.9,,1017.5,
2020-01-15,23.4,21.2,27.3,0,0,153.9,12.5,,1016.6,
2020-01-16,20.1,16.8,24,8.4,0,88.6,14,,1021.2,
2020-01-17,19.5,16.8,23.4,0.5,0,110,12.3,,1020,
2020-01-18,19,12.3,21.8,0,0,16.1,12.5,,1021,
2020-01-19,10.8,6.8,15.6,0,0,25.4,16.8,,1030.8,
2020-01-20,10.5,5.6,16.8,0,0,27.6,7,,1033.5,
2020-01-21,12,5.6,18.4,0,0,105,15.8,,1028.5,
2020-01-22,12.8,10.1,15.6,16.5,0,117.9,8.6,,1015.7,
2020-01-23,15.8,10.1,23.4,0,0,351.1,11.3,,1014.7,
2020-01-24,13.2,5.1,21.2,0,0,81.6,6.1,,1020.2,
2020-01-25,13.6,6.8,19.5,1,0,53.6,5.9,,1017.4,
2020-01-26,18.7,12.3,26.2,0,0,340.9,4.6,,1014.6,
2020-01-27,16.6,9,24.5,0,0,73.2,10.1,,1014,
2020-01-28,17,13.4,23.4,5.5,0,346,15.9,,1012.2,
2020-01-29,12.8,7.9,18.4,0,0,352.9,14.7,,1017.2,
2020-01-30,9.3,7.3,11.8,0,0,40.9,13.1,,1018.4,
2020-01-31,11.9,8.4,17.3,0,0,6.2,8,,1021.1,
2020-02-01,13.3,4.5,22.3,0,0,269.9,9.9,,1024.5,
2020-02-02,13.9,2.9,24.5,0,0,198.6,7.7,,1019.4,
2020-02-03,18.7,12.9,23.4,0,0,136,11.9,,1009.6,
2020-02-04,20.3,12.9,25.6,0,0,88.9,10.7,,1006.4,
2020-02-05,7.2,4,11.8,0.3,0,360,19.9,,1009.6,
2020-02-06,6.4,-0.5,15.6,0,0,313.2,10.6,,1011.8,
2020-02-07,11.8,-1,24.5,0,0,324.5,6.9,,1013,
2020-02-08,15.6,10.1,22.3,0,0,75.1,15.1,,1018.1,
2020-02-09,21.8,18.2,27.2,0.3,0,123.1,17.9,,1013.6,
2020-02-10,19.8,12.3,25.6,8.4,0,93.8,14.8,,1011.9,
2020-02-11,9,7.9,11.8,0.3,0,27.1,19.6,,1015.5,
2020-02-12,11.5,7.9,20.1,15.7,0,330.6,9.3,,1011.9,
2020-02-13,10.9,6.2,17.3,0,0,33,15,,1022.2,
2020-02-14,8.5,2.3,16.2,0,0,67.5,11.4,,1028.2,
2020-02-15,11.8,4,19,0,0,85.7,5.3,,1022,
2020-02-16,16.3,10.6,23.4,0,0,338.7,3.3,,1015.5,
2020-02-17,21.6,14,27.9,0,0,160.8,10.2,,1009.8,
2020-02-18,19.5,12.3,25.6,0,0,60.6,14.3,,1013.8,
2020-02-19,11.2,9.5,12.9,1,0,28.4,16.4,,1021.4,
2020-02-20,9.4,8.4,10.6,1.3,0,15.8,18.1,,1027.4,
2020-02-21,8.9,4,15.1,0,0,39.5,12.7,,1035.8,
2020-02-22,12,4.5,19,0,0,138.4,9.4,,1027,
2020-02-23,18,13.4,22.9,0,0,148.2,12.3,,1015.7,
2020-02-24,19.2,11.8,23.4,0,0,312.4,8.1,,1010.2,
2020-02-25,14.2,6.8,21.2,0,0,1.3,14.1,,1013.2,
2020-02-26,9.7,4,13.4,0,0,346.2,20.9,,1029.2,
2020-02-27,7.3,-1.6,17.3,0,0,310.9,4.2,,1029.2,
2020-02-28,12.6,2.3,24,0,0,242,6.6,,1027.7,
2020-02-29,15.9,6.2,25.1,0,0,149.6,14.3,,1022.3,
2020-03-01,18.9,12.9,25.6,0,0,136.5,9.4,,1012.6,
2020-03-02,20.5,14.5,25.1,0,0,83.7,8,,1008.6,
2020-03-03,22.2,17.3,26.8,0,0,66,11,,1007.1,
2020-03-04,19.3,14,22.3,11.9,0,358.4,15.8,,1009,
2020-03-05,16.9,11.2,24.5,0,0,360,13.4,,1023.2,
2020-03-06,16.2,9.5,22.9,0,0,37.1,11.2,,1029.7,
2020-03-07,14.6,9.5,20.1,0,0,89.5,10,,1027,
2020-03-08,17.4,10.2,25.2,0,0,126.7,15.6,,,
2020-03-09,20.2,17.9,24,0.8,0,152.3,11.4,,1020.7,
2020-03-10,21.7,17.9,26.8,0,0,130.4,7.7,,1022.3,
2020-03-11,22.9,16.2,31.2,0,0,173.2,11.4,,1016.8,
2020-03-12,23.9,19,31.2,0,0,143.2,14.4,,1010.8,
2020-03-13,23.7,20.6,30.1,0,0,133.7,17.4,,1012.2,
2020-03-14,25.2,21.8,30.1,0,0,138.8,17.8,,1015.9,
2020-03-15,21.4,19,23.4,0,0,66.8,13.7,,1020.5,
2020-03-16,21.8,18.4,26.8,0,0,98.3,11.4,,1018.8,
2020-03-17,23.9,20.1,29.5,0,0,122.6,17.7,,1015.3,
2020-03-18,24.8,21.2,31.2,0.3,0,161.2,18.8,,1013.4,
2020-03-19,24.6,21.2,30.1,4.1,0,127.3,14,,1011.9,
2020-03-20,17.6,12.9,22.3,6.4,0,43.1,19.1,,1020.3,
2020-03-21,12,11.2,12.9,13,0,35.5,16.2,,1024.1,
2020-03-22,16.1,12.9,19.5,0.3,0,34.6,7.6,,1018.4,
2020-03-23,22.5,18.4,29,0,0,121.7,9.8,,1015.1,
2020-03-24,24.5,19.5,32.3,0,0,232.2,5,,1011.2,
2020-03-25,23.5,17.9,30.6,0,0,79.7,7.6,,1011.4,
2020-03-26,25.2,20.1,33.4,0,0,150.5,16.4,,1008.2,
2020-03-27,25.7,20.6,32.3,0,0,138.7,14.6,,1005.3,
2020-03-28,23.6,16.2,27.9,1.5,0,29.2,10.3,,1009,
2020-03-29,19.1,11.8,26.8,0,0,58.4,10.9,,1017.3,
2020-03-30,21.1,19.5,24.5,0.3,0,54.4,6.2,,1013.3,
2020-03-31,20.6,14,26.8,0,0,351.3,11.5,,1014.3,
2020-04-01,19.4,11.2,27.3,0,0,101,13.8,,1013.7,
2020-04-02,19.6,16.8,21.2,11.7,0,127.8,11.5,,1010.5,
2020-04-03,20.7,12.3,24.5,3,0,83.8,11.8,,1010.8,
2020-04-04,12.2,11.2,14,52.3,0,25.4,13.5,,1014.5,
2020-04-05,16.7,12.3,21.2,0,0,63.7,8.3,,1015.8,
2020-04-06,21.2,17.9,25.1,0,0,71.6,5.6,,1014.3,
2020-04-07,24,20.6,29.5,0,0,189,4.7,,1013.4,
2020-04-08,26.3,20.1,32.9,0,0,200.6,6.4,,1010.7,
