Date;Temp;Pluie
01/2018;11.738709677419353;0.3064516129032258
02/2018;16.53214285714286;1.1785714285714286
03/2018;21.654838709677414;1.474193548387097
04/2018;21.889999999999997;0.3333333333333333
05/2018;28.480645161290326;0.8677419354838711
06/2018;31.416666666666664;0.9233333333333333
07/2018;31.809677419354845;1.3580645161290323
08/2018;31.76451612903226;1.5903225806451615
09/2018;28.339999999999996;5.363333333333333
10/2018;23.212903225806446;3.3258064516129027
11/2018;15.806666666666667;0.51
12/2018;14.08387096774194;1.2870967741935484
01/2019;13.28064516129032;3.3161290322580643
02/2019;15.97142857142857;0.985714285714286
03/2019;18.161290322580644;1.2129032258064516
04/2019;22.450000000000006;4.1866666666666665
05/2019;26.754838709677422;8.822580645161288
06/2019;29.28666666666667;2.836666666666667
07/2019;30.89032258064516;1.6064516129032258
08/2019;32.73548387096774;3.690322580645161
09/2019;31.319999999999997;4.683333333333334
10/2019;23.02903225806452;6.032258064516128
11/2019;15.036666666666665;1.6099999999999999
12/2019;13.232258064516131;0.45806451612903226
01/2020;14.90645161290323;2.519354838709677
02/2020;13.665517241379309;2.4896551724137934
03/2020;21.01935483870968;2.303225806451613
04/2020;21.616666666666664;2.316666666666666
05/2020;25.82580645161291;10.509677419354839
06/2020;27.963333333333328;3.443333333333334
07/2020;30.329032258064515;1.9516129032258065
08/2020;30.403225806451616;2.674193548387096
09/2020;25.976666666666667;5.126666666666667
10/2020;22.44838709677419;0.767741935483871
11/2020;19.08666666666667;0.9933333333333335
12/2020;12.725806451612902;4.4806451612903215
01/2021;12.561290322580646;1.3774193548387093
02/2021;10.564285714285715;1.5285714285714282
03/2021;19.387096774193548;0.7935483870967742
04/2021;22.933333333333337;2.2199999999999998
05/2021;25.867741935483878;10.880645161290325
06/2021;29.85333333333333;3.1066666666666665
07/2021;29.4;3.2064516129032254
08/2021;30.809677419354834;0.8838709677419354
09/2021;29.883333333333333;0.5066666666666666
