Date;Temp;Pluie
01/2018;2.648387096774193;0.03870967741935485
02/2018;1.1607142857142854;0.2857142857142857
03/2018;4.806451612903227;0.3806451612903226
04/2018;10.343333333333334;0.07333333333333333
05/2018;13.177419354838712;0.035483870967741936
06/2018;19.636666666666667;0.05
07/2018;20.374193548387094;0.43870967741935485
08/2018;19.34516129032258;0.5129032258064515
09/2018;16.39;0.08666666666666667
10/2018;7.919354838709677;0.7709677419354838
11/2018;2.913333333333333;0.07333333333333333
12/2018;0.18387096774193556;0.1709677419354839
01/2019;0.3774193548387098;2.061290322580645
02/2019;-1.9321428571428572;2.2428571428571433
03/2019;4.170967741935483;1.3451612903225805
04/2019;8.933333333333334;0.5966666666666668
05/2019;8.52258064516129;2.603225806451613
06/2019;17.189999999999998;0.14333333333333334
07/2019;20.477419354838712;0.5193548387096774
08/2019;20.677419354838708;0.5806451612903226
09/2019;15.923333333333334;0.5466666666666666
10/2019;8.60967741935484;0.0064516129032258064
11/2019;4.1899999999999995;0.8866666666666666
12/2019;0.2225806451612901;1.3774193548387095
01/2020;0.7774193548387096;0.5709677419354838
02/2020;1.6103448275862067;0.1586206896551724
03/2020;4.129032258064516;2.0516129032258066
04/2020;8.623333333333333;0.7300000000000001
05/2020;14.829032258064512;0.08064516129032258
06/2020;18.723333333333333;0.02666666666666667
07/2020;21.448387096774198;0.3225806451612903
08/2020;21.629032258064516;0.27741935483870966
09/2020;17.516666666666666;0.14666666666666667
10/2020;12.112903225806448;0.02258064516129032
11/2020;5.789999999999998;0.38666666666666666
12/2020;0.07741935483870971;0.18387096774193548
01/2021;-0.19354838709677413;0.6516129032258065
02/2021;1.2071428571428573;0.34285714285714286
03/2021;3.019354838709678;1.429032258064516
04/2021;9.706666666666667;1.12
05/2021;13.79032258064516;0.04838709677419355
06/2021;20.87666666666667;0.11333333333333333
07/2021;20.654838709677424;3.148387096774194
08/2021;19.21935483870968;0.6838709677419355
09/2021;16.326666666666668;0.38
